Номер станции,"Глубина отбора, см",CH4 (ПИД),CH4 (ДТП-1),Водород,Гелий,CO2 (ДТП-2),N2 (ДТП-2),O2 (ДТП-2),C3H8 (ДТП-1),C2H6 (ДТП-1),C4H10 (ДТП-1),neo-C5H12 (ПИД),n-C5H12 (ПИД),C6H14 (ПИД),C4H6 (ПИД),i-C5H12 (ПИД),1-C4H8 (ПИД),C3H8 (ПИД),i-C4H10 (ПИД),C4H10 (ПИД),C3H4 (ПИД),C3H6 (ПИД),C2H4 (ПИД),C2H6 (ПИД)
2cm Gotland ,0-5,0.008407291965661,0,0,67.3678122390258,0,42.8447227410283,4.67987279618514,0,9.44E-05,0,2.90E-06,2.59E-06,6.14E-06,3.60E-06,2.93E-05,5.21E-06,2.66E-05,3.65E-06,2.05E-05,2.27E-06,1.19E-05,1.84E-05,2.56E-05
20cm Gotland ,15-20,0.067152507312566,0.055449531204305,0,79.6748019672717,0.15883785710514,54.7966737881515,6.11292387839392,0,2.52E-06,0,6.50E-07,2.13E-06,2.48E-06,3.58E-07,4.56E-05,1.25E-07,2.09E-05,1.28E-07,6.53E-06,1.00E-06,5.48E-07,1.41E-06,2.55E-06
40cm Gotland,30-40,0.121455976118036,0.1966952786667,0,74.0138908834333,0.084204613362909,28.636420328832,4.92330297989623,0,4.20E-05,0,1.13E-06,1.93E-06,1.14E-05,4.72E-07,1.36E-05,8.77E-07,1.33E-05,1.72E-06,4.17E-06,3.39E-06,7.08E-06,1.30E-05,1.08E-05
80cm Gotland,60-70,0.216004892551754,0.202216882321065,0,68.8336190150718,0.153139148367754,31.461529209989,5.15849536294116,0,7.67E-05,1.69E-05,1.32E-06,2.57E-06,9.95E-06,4.38E-06,2.04E-06,2.30E-06,9.56E-06,3.24E-06,5.54E-06,5.05E-06,5.82E-06,1.13E-05,1.33E-05
185cm Gotland,160,5.46618352528419,6.17449755413026,0,80.7866389979496,5.8554880309121,20.2834507818967,3.71120789920109,0,4.65E-05,2.98E-05,3.16E-06,3.99E-06,7.28E-06,4.48E-06,4.28E-06,2.48E-06,2.61E-05,4.60E-06,1.50E-05,6.18E-06,3.18E-06,2.10E-05,5.78E-05
220cm Gotland,260,4.8830515973873,5.01799364190479,0,80.0314917839912,4.96068703619259,21.8090396374416,3.60074188944551,0,2.09E-05,0,1.99E-06,3.46E-06,2.68E-06,3.38E-06,3.08E-05,1.49E-06,2.88E-05,2.79E-06,1.29E-05,3.93E-06,6.91E-06,1.12E-05,2.74E-05
270cm Gotland,290,4.34107468419523,5.69471740542594,0,66.1297213674976,14.0297734585483,37.678791100003,4.26827149441485,0,4.57E-05,0,7.08E-07,2.12E-06,2.53E-06,4.25E-06,4.21E-05,1.85E-06,3.22E-05,3.87E-06,1.77E-05,5.45E-06,8.62E-06,1.77E-05,5.92E-05
2cm Fin,0-5,1.71065590597186,2.29892837090968,0,65.6237890716299,5.08297578951299,40.9094824963421,4.50396611188111,1.09845174001391,7.06E-06,0,7.57E-07,3.30E-06,2.10E-06,4.19E-06,2.83E-05,5.68E-07,3.94E-05,2.51E-06,1.75E-05,9.06E-07,5.48E-06,1.07E-05,1.74E-05
10cm Fin,5-10,0.073785120753524,0.07545768071293,0,82.3015722737981,0.105186346368157,23.8880852435781,3.42259037564758,0,0,0,2.00E-06,2.55E-06,6.40E-06,1.18E-06,4.11E-05,1.94E-06,1.56E-05,4.02E-06,6.04E-06,4.47E-06,7.62E-06,8.87E-06,1.12E-05
20cm Fin,15-20,0.28233136896632,0.300515207922334,0,68.0150301539342,0.810184815207288,41.2968653310739,4.31672676414866,0,7.21E-06,0,5.09E-07,1.99E-06,2.04E-06,1.02E-07,5.75E-05,7.98E-07,3.48E-05,9.35E-07,1.31E-05,3.42E-07,1.47E-07,1.32E-05,1.72E-05
40cm Fin,30-40,1.83418412305417,2.72170068575496,0,84.750654283227,1.97586840083009,20.6845241336206,3.33271410549103,0,9.18E-05,0,1.32E-06,2.60E-06,7.94E-06,5.71E-06,2.07E-05,1.59E-06,3.01E-05,6.60E-06,1.36E-05,1.20E-05,6.92E-06,1.21E-05,2.62E-05
80cm Fin , 80,3.46521335726015,3.84238457852889,0,73.4800309611134,3.65322617895476,27.6552916840327,4.08215316434798,0,5.57E-05,0.002886348017246,3.19E-05,2.39E-06,1.64E-05,2.04E-06,6.99E-05,2.12E-06,0.000113479027153,6.73E-06,5.64E-05,6.15E-06,7.34E-06,1.78E-05,2.42E-05
190cm Fin ,190,2.5476397562583,2.84616704220908,0,81.8731458933297,2.6511901199348,22.7770500383857,3.65225544131752,0,7.39E-05,5.92E-05,1.54E-06,2.17E-06,8.64E-06,1.84E-06,2.25E-05,1.90E-06,1.20E-05,2.50E-06,3.04E-06,2.33E-06,4.29E-06,1.65E-05,8.27E-06
ACB-051-076H ,5-10,0.027377984045617,0.028947289515463,0,83.4681577599959,0.014460026422688,22.4703113325906,4.01025437221498,0,0,0,2.03E-06,1.54E-06,1.02E-05,7.40E-07,1.33E-06,2.67E-06,1.77E-05,3.54E-06,3.50E-06,2.80E-06,9.79E-06,2.62E-05,1.33E-05
ACB-051-076H ,10-15,0.046355854104996,0.179902272809794,0,80.8439264685003,0.055897555312791,27.9330495517195,4.56879771161945,0,2.34E-05,0,1.18E-06,2.56E-06,2.54E-05,1.87E-06,3.41E-05,2.12E-06,2.14E-05,2.32E-06,7.18E-06,4.52E-06,9.99E-06,1.98E-05,1.71E-05
ACB-051-076H ,20-30,0.09359247397004,0.098639761565456,0,85.7974641993404,0.068841142469983,23.2861846799693,3.80665671134707,0,0.000155056211909,0,8.08E-07,2.91E-06,9.58E-06,8.14E-07,2.20E-05,1.75E-06,1.67E-05,9.43E-07,4.02E-06,5.76E-06,6.16E-06,1.55E-05,1.26E-05
ACB-051-076H ,40-50,0.14887121077459,0.254515463246478,0,86.2177281524877,0.130693052800437,23.6305831966935,3.64079171382732,0,9.12E-05,0,6.41E-05,9.79E-06,2.52E-05,9.48E-05,1.37E-05,1.13E-05,1.47E-05,2.71E-05,5.69E-05,3.17E-05,2.56E-05,2.06E-05,1.57E-05
ACB-051-076H ,50-60,0.245511716853609,0.330655077167611,0,63.7670532567079,0.250927100385006,22.258017161102,3.23602840272708,0,6.81E-05,0.000774376256257,1.33E-06,2.78E-06,1.37E-05,2.24E-06,2.63E-06,2.72E-06,1.61E-05,5.27E-06,7.19E-06,3.67E-06,8.55E-06,1.37E-05,1.64E-05
ACB-051-076H ,360,3.80531325258533,3.87018154168949,0,79.6748019672717,3.84240912948525,23.2054023465988,3.93697102055935,0,9.79E-05,0,1.21E-06,2.28E-06,2.88E-05,1.79E-06,3.01E-05,1.92E-06,2.36E-05,3.09E-06,1.22E-05,4.32E-06,7.62E-06,1.39E-05,2.79E-05
ACB-051-059H ,10-15,0.104909368196749,0.107670082024859,0,80.7866389979496,0.086501502485624,26.5596810361286,4.25910533506238,0,2.80E-05,0,1.83E-06,1.36E-06,4.03E-06,3.65E-07,2.12E-05,1.42E-06,4.31E-05,1.27E-05,3.51E-05,7.62E-07,5.53E-06,1.01E-05,1.91E-05
ACB-051-059H,20-25,0.63716351379875,0.551565913309969,0,22.1979357186856,1.41859548785046,84.1274420846545,9.46608132174327,0,1.99E-05,0,9.57E-07,1.89E-06,1.81E-06,4.70E-07,6.22E-05,4.16E-07,4.87E-05,2.12E-06,1.70E-05,2.23E-07,3.52E-06,1.44E-05,2.13E-05
ACB-051-059H,25-30,1.71065590597186,1.94678034195636,0,65.6237890716299,5.08297578951299,40.9094824963421,4.50396611188111,1.09845174001391,7.06E-06,0,7.57E-07,3.30E-06,2.10E-06,4.19E-06,2.83E-05,5.68E-07,3.94E-05,2.51E-06,1.75E-05,9.06E-07,5.48E-06,1.07E-05,1.74E-05
ACB-051-059H ,40-50,3.56829590354122,3.68743835945994,0,79.9812517011684,3.69473010818929,22.1589532769995,3.50575763875565,0,7.40E-05,4.06E-05,6.72E-07,1.93E-06,1.10E-05,7.75E-07,2.84E-05,1.34E-06,2.72E-05,2.23E-06,1.01E-05,2.13E-06,4.63E-06,1.18E-05,2.25E-05
ACB-051-059H ,290,4.66795868876743,4.86756968637015,0,52.1763182427744,13.9453969290215,52.2965582190293,5.92729583101475,0,0.000112512304544,0,9.90E-07,3.14E-06,4.30E-06,0,2.02E-05,1.75E-06,4.81E-05,5.67E-06,4.02E-05,1.71E-06,9.54E-06,1.71E-05,7.75E-05
