2cm Gotland,20cm Gotland,40cm Gotland,80cm Gotland,120cm Gotland,145cm Gotland,185cm Gotland,220cm Gotland,270cm Gotland ,2cm Fin,10cm Fin,20cm Fin,40cm Fin,80cm Fin,110cm Fin ,150cm Fin,190cm Fin,domain,phylum,class,order,family,genus
10.4612,1.1149,1.00465,0.54855,0.2941,0.913,1.2765,0.89165,1.1016,2.25905,0.70935,0.87455,0.2591,2.5683,4.6299,2.932,14.38855,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
3.50275,0.4323,0.2341,0.23175,0.11385,0.23995,0.3834,0.3714,0.16495,0.3797,0.47,0.5122,0.28555,0.673,0.432,0.25725,1.4801,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
4.329,15.8703,12.43845,16.66055,1.42445,2.88385,2.40605,16.1327,5.0331,3.0479,4.64395,1.3016,2.2603,4.6946,3.3037,2.8125,2.8773,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured
3.195,2.7759,1.5036,2.15655,0.7922,0.38665,0.31675,2.93155,0.42755,0.4756,4.2049,0.80135,1.92965,0.6975,0.72555,0.59005,1.3179,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,SEEP-SRB1
2.78275,1.7747,3.4207,0.8063,0.6498,1.7163,3.14345,1.9449,2.89585,1.7531,5.4695,6.82115,4.99735,5.83765,1.8537,4.9828,4.42205,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,
2.06635,0.091,0,0.03775,0.00665,0.027,0.01815,0.0872,0,4.4217,0.29285,0.42735,0.0163,0,0.02425,0,0.00755,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfoconvexum
3.2402,0.091,0,0,0.00665,0.0086,0,0,0,0.11505,0.0071,0,0,0,0,0,0,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Aphanizomenon NIES81
2.4305,2.6962,0.93655,0.8056,0.11005,0.26695,0.18755,3.31965,0.05215,4.77395,2.28195,1.27765,0.3753,0.0336,0.056,0.08475,0.0631,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,
2.64815,1.1604,0.88,0.32755,0.5009,1.02965,0.86555,0.95415,0.45385,0.7842,0.87635,1.61855,0.75585,1.37485,2.51895,0.93345,4.88605,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured
2.58115,2.7759,2.4353,3.337,2.6448,2.8937,1.64735,1.88585,1.2605,0.37365,2.6356,1.5184,4.0944,0.95515,1.5544,0.49255,0.88205,No Relative,,,,,
