	2cm Gotland	20cm Gotland	40cm Gotland	80cm Gotland	120cm Gotland	145cm Gotland	185cm Gotland	220cm Gotland	270cm Gotland 	2cm Fin	10cm Fin	20cm Fin	40cm Fin	80cm Fin	110cm Fin 	150cm Fin	190cm Fin
2cm Gotland	0.0	0.5278950142365093	0.5931525947761459	0.6052986676917111	0.7375373371415803	0.7028488125825132	0.7103328270481253	0.5446768414047279	0.7316845004721129	0.5104851291972009	0.5459752102905342	0.6146550151341811	0.6753939600784354	0.7314663706656986	0.6918895379778447	0.7670980175090862	0.6127782810321324
20cm Gotland	0.5278950142365093	0.0	0.27723908039242595	0.242046132059968	0.5147799588440732	0.5200634656444049	0.5294126076111576	0.13423696571286475	0.5584852766648305	0.609891220782418	0.4162616971433127	0.5302503170293676	0.47636670311536594	0.5944029592939019	0.5760133822091487	0.6273118207405961	0.60638709067556
40cm Gotland	0.5931525947761459	0.27723908039242595	0.0	0.2673503713890583	0.4318733829935136	0.40939381481067944	0.4601002128718161	0.28325086534453475	0.49203488955945773	0.6809404075658493	0.3651574823380932	0.40965617824164746	0.3819049190066431	0.5066560795045941	0.5261172084619499	0.5156947642800789	0.5527948286523942
80cm Gotland	0.6052986676917111	0.242046132059968	0.2673503713890583	0.0	0.45894737222454934	0.494890541114723	0.5200169613295547	0.22380869684953203	0.5311962539225773	0.6677697385842005	0.4286349593036648	0.5327065788697386	0.43484527827031977	0.5786561968371595	0.5604936270321667	0.6257626738304732	0.6373105542659888
120cm Gotland	0.7375373371415803	0.5147799588440732	0.4318733829935136	0.45894737222454934	0.0	0.24704193149367323	0.3968421618494446	0.5101021552443048	0.416493624282833	0.7860125566370376	0.5101585001805933	0.49824389687329473	0.38290747610265385	0.45619218992502625	0.42994698259168806	0.4557294117108507	0.5222401811606856
145cm Gotland	0.7028488125825132	0.5200634656444049	0.40939381481067944	0.494890541114723	0.24704193149367323	0.0	0.26365248917371853	0.5291883355883626	0.34506153665215805	0.762171149368365	0.49982055423767474	0.4873900806798273	0.39108407980376786	0.3474092828468956	0.3544096730492161	0.3741943464012697	0.4634902162957914
185cm Gotland	0.7103328270481253	0.5294126076111576	0.4601002128718161	0.5200169613295547	0.3968421618494446	0.26365248917371853	0.0	0.5458375195914331	0.2950569920173581	0.7762614815577696	0.5351554204901142	0.5620140808267239	0.43795838201382664	0.2902057926345896	0.3184570905793746	0.30838723515764827	0.4179966774132296
220cm Gotland	0.5446768414047279	0.13423696571286475	0.28325086534453475	0.22380869684953203	0.5101021552443048	0.5291883355883626	0.5458375195914331	0.0	0.5631122632854988	0.5949721773960718	0.3889367302859089	0.5111117448973979	0.48723807616533754	0.6139796515775687	0.5961728988870129	0.6326435860949506	0.6228648764952208
270cm Gotland 	0.7316845004721129	0.5584852766648305	0.49203488955945773	0.5311962539225773	0.416493624282833	0.34506153665215805	0.2950569920173581	0.5631122632854988	0.0	0.8138479722430513	0.5574668316016107	0.6064098913810791	0.4662738625154386	0.3406694214370606	0.363435142186617	0.3788705744491587	0.44383371031678326
2cm Fin	0.5104851291972009	0.609891220782418	0.6809404075658493	0.6677697385842005	0.7860125566370376	0.762171149368365	0.7762614815577696	0.5949721773960718	0.8138479722430513	0.0	0.6051450961565112	0.6327952760883582	0.7632168355448952	0.7816629669934013	0.7634805027849191	0.8170852477357149	0.7728736735106302
10cm Fin	0.5459752102905342	0.4162616971433127	0.3651574823380932	0.4286349593036648	0.5101585001805933	0.49982055423767474	0.5351554204901142	0.3889367302859089	0.5574668316016107	0.6051450961565112	0.0	0.24423840592253646	0.3391842280319999	0.5473296704669351	0.5804232276670322	0.5674467147340173	0.5835744866230939
20cm Fin	0.6146550151341811	0.5302503170293676	0.40965617824164746	0.5327065788697386	0.49824389687329473	0.4873900806798273	0.5620140808267239	0.5111117448973979	0.6064098913810791	0.6327952760883582	0.24423840592253646	0.0	0.3639608642680295	0.579998093569244	0.607720687972732	0.5957823563626766	0.6165646394489365
40cm Fin	0.6753939600784354	0.47636670311536594	0.3819049190066431	0.43484527827031977	0.38290747610265385	0.39108407980376786	0.43795838201382664	0.48723807616533754	0.4662738625154386	0.7632168355448952	0.3391842280319999	0.3639608642680295	0.0	0.47008000690574026	0.48599210871656234	0.49232226973405296	0.5353594587322357
80cm Fin	0.7314663706656986	0.5944029592939019	0.5066560795045941	0.5786561968371595	0.45619218992502625	0.3474092828468956	0.2902057926345896	0.6139796515775687	0.3406694214370606	0.7816629669934013	0.5473296704669351	0.579998093569244	0.47008000690574026	0.0	0.2280204730832594	0.17593256982160282	0.33977930418475316
110cm Fin 	0.6918895379778447	0.5760133822091487	0.5261172084619499	0.5604936270321667	0.42994698259168806	0.3544096730492161	0.3184570905793746	0.5961728988870129	0.363435142186617	0.7634805027849191	0.5804232276670322	0.607720687972732	0.48599210871656234	0.2280204730832594	0.0	0.28137783421665113	0.29191004854168473
150cm Fin	0.7670980175090862	0.6273118207405961	0.5156947642800789	0.6257626738304732	0.4557294117108507	0.3741943464012697	0.30838723515764827	0.6326435860949506	0.3788705744491587	0.8170852477357149	0.5674467147340173	0.5957823563626766	0.49232226973405296	0.17593256982160282	0.28137783421665113	0.0	0.37430043769005844
190cm Fin	0.6127782810321324	0.60638709067556	0.5527948286523942	0.6373105542659888	0.5222401811606856	0.4634902162957914	0.4179966774132296	0.6228648764952208	0.44383371031678326	0.7728736735106302	0.5835744866230939	0.6165646394489365	0.5353594587322357	0.33977930418475316	0.29191004854168473	0.37430043769005844	0.0
