	2cm Gotland	20cm Gotland	40cm Gotland	80cm Gotland	120cm Gotland	145cm Gotland	185cm Gotland	220cm Gotland	270cm Gotland 	2cm Fin	10cm Fin	20cm Fin	40cm Fin	80cm Fin	110cm Fin 	150cm Fin	190cm Fin
2cm Gotland	0.0	17.487130847283094	17.109375130173515	18.935824431946443	22.26947023337107	26.295073554089935	27.519721475970645	17.81965571812486	25.00602675551436	13.500800637462206	16.79720036434643	19.06932214808644	17.431985358458167	31.770512981654857	24.54082696620063	35.43142074557554	18.879483539744935
20cm Gotland	17.487130847283094	0.0	8.387139833697779	5.523239103325149	20.198997660651383	23.395202481171214	25.002971776770853	2.768766045100236	21.17279242949546	17.32149560380108	16.674075076747137	21.059238983697867	17.298915522584068	28.567334317406996	23.270537143456746	32.74813505002996	23.819208956795777
40cm Gotland	17.109375130173515	8.387139833697779	0.0	7.883410724584887	17.65803232455417	21.464960400149824	23.524978733996768	8.395102371770102	19.754299148349958	16.828962795059592	13.273013015513849	16.171098117243	13.106352428784295	27.570565279886807	22.10411161085195	31.79652921122052	22.454517324861385
80cm Gotland	18.935824431946443	5.523239103325149	7.883410724584887	0.0	20.588115048554105	24.37761347440516	26.50744205694884	5.569646699746762	21.968875945414226	18.722157934249992	17.2823742001063	21.329379290312225	17.545065093638154	30.29163114657248	24.904266131879897	34.58716507467041	25.748762250640322
120cm Gotland	22.26947023337107	20.198997660651383	17.65803232455417	20.588115048554105	0.0	9.077765742736478	13.3735935183854	20.97051982611542	12.619680582625696	21.37748818026805	19.069701745439016	19.423470068128914	13.00068019383986	18.58732170627334	14.041505877219867	21.67031246013771	19.478495856777545
145cm Gotland	26.295073554089935	23.395202481171214	21.464960400149824	24.37761347440516	9.077765742736478	0.0	7.083163939935316	24.370860666531666	10.545051061872579	25.95199817986083	23.304775806473657	23.761762563991333	17.888976660153034	11.40201962603556	11.091853531759243	14.551892412844458	18.490791289923216
185cm Gotland	27.519721475970645	25.002971776770853	23.524978733996768	26.50744205694884	13.3735935183854	7.083163939935316	0.0	25.98161569124407	10.718690790040545	27.371691157060432	24.9850757283223	25.66526912702262	20.216462369996886	9.017271212650751	10.338751171442322	12.017432742894796	17.792650268931276
220cm Gotland	17.81965571812486	2.768766045100236	8.395102371770102	5.569646699746762	20.97051982611542	24.370860666531666	25.98161569124407	0.0	21.975266797356525	17.181572496864195	16.411283237227366	20.90107323548243	17.641624114151167	29.701320589327334	24.48873346995512	33.82383694818641	24.814341781518213
270cm Gotland 	25.00602675551436	21.17279242949546	19.754299148349958	21.968875945414226	12.619680582625696	10.545051061872579	10.718690790040545	21.975266797356525	0.0	25.057565232081107	22.117031388898013	23.422724018888157	17.409930272404885	15.014160551459408	12.874372057987916	18.73607324514665	18.686886436884024
2cm Fin	13.500800637462206	17.32149560380108	16.828962795059592	18.722157934249992	21.37748818026805	25.95199817986083	27.371691157060432	17.181572496864195	25.057565232081107	0.0	15.844316660477977	17.692839109368514	16.956605820446498	32.106732924107995	25.161394718745225	35.725036797006936	24.122097172198774
10cm Fin	16.79720036434643	16.674075076747137	13.273013015513849	17.2823742001063	19.069701745439016	23.304775806473657	24.9850757283223	16.411283237227366	22.117031388898013	15.844316660477977	0.0	7.055961630954352	9.309508652044961	29.70711927749811	24.198517020367177	33.50988020203892	23.545125767289928
20cm Fin	19.06932214808644	21.059238983697867	16.171098117243	21.329379290312225	19.423470068128914	23.761762563991333	25.66526912702262	20.90107323548243	23.422724018888157	17.692839109368514	7.055961630954352	0.0	10.028593480643236	30.342714523588686	24.95122867180092	33.94145991273063	24.303391173867077
40cm Fin	17.431985358458167	17.298915522584068	13.106352428784295	17.545065093638154	13.00068019383986	17.888976660153034	20.216462369996886	17.641624114151167	17.409930272404885	16.956605820446498	9.309508652044961	10.028593480643236	0.0	25.313686244697745	19.846748995301475	29.15169431015117	20.800546339940208
80cm Fin	31.770512981654857	28.567334317406996	27.570565279886807	30.29163114657248	18.58732170627334	11.40201962603556	9.017271212650751	29.701320589327334	15.014160551459408	32.106732924107995	29.70711927749811	30.342714523588686	25.313686244697745	0.0	11.065172854614604	6.272039364313652	19.328746366358068
110cm Fin 	24.54082696620063	23.270537143456746	22.10411161085195	24.904266131879897	14.041505877219867	11.091853531759243	10.338751171442322	24.48873346995512	12.874372057987916	25.161394718745225	24.198517020367177	24.95122867180092	19.846748995301475	11.065172854614604	0.0	15.172248194977566	13.374965178552802
150cm Fin	35.43142074557554	32.74813505002996	31.79652921122052	34.58716507467041	21.67031246013771	14.551892412844458	12.017432742894796	33.82383694818641	18.73607324514665	35.725036797006936	33.50988020203892	33.94145991273063	29.15169431015117	6.272039364313652	15.172248194977566	0.0	22.420200183707106
190cm Fin	18.879483539744935	23.819208956795777	22.454517324861385	25.748762250640322	19.478495856777545	18.490791289923216	17.792650268931276	24.814341781518213	18.686886436884024	24.122097172198774	23.545125767289928	24.303391173867077	20.800546339940208	19.328746366358068	13.374965178552802	22.420200183707106	0.0
